local_district_name,total,< 6,6 - 14,15 - 17,18 - 26,27 - 44,45 - 54,55 - 64,65 <=,female_share
Tegel,37291,1911,2623,783,3392,9005,4400,5671,9506,19117
Konradshöhe,6167,277,542,197,431,950,721,1135,1914,3185
Heiligensee,18169,885,1687,515,1300,2979,2160,3323,5320,9266
Frohnau,16399,715,1549,544,1183,2338,2111,2835,5124,8548
Hermsdorf,16611,791,1456,471,1132,2735,2055,2837,5134,8693
Waidmannslust,11263,791,1234,405,1155,2560,1324,1474,2320,5708
Lübars,5068,206,512,174,351,876,657,912,1380,2572
Wittenau,25106,1224,1721,496,2343,5786,2744,4066,6726,12426
Märkisches Viertel,41167,2802,4914,1617,4710,9516,4746,4805,8057,21179
Borsigwalde,6899,377,414,124,676,1988,798,1115,1407,3429
